                                              
            ---------------------------------------------------------------------
             Slno    Investigations                                      Price   
              130    X-RAY LEFT LEG LATERAL VIEW                         200.00
              131    X-RAY LEFT MANDIABLE AP & LATERAL VIEW              400.00
              132    X-RAY LEFT MANDIABLE AP VIEW                        200.00
              133    X-RAY LEFT MANDIABLE LATERAL VIEW                   200.00
              134    X-RAY LEFT SHOULDER AP & LATERAL VIEW               400.00
              135    X-RAY LEFT SHOULDER AP VIEW                         200.00
              136    X-RAY LEFT SHOULDER AXIL VIEW                       200.00
              137    X-RAY LEFT SHOULDER LATERAL VIEW                    200.00
              138    X-RAY LEFT THIGH AP & LATERAL VIEW                  400.00
              139    X-RAY LEFT THIGH AP VIEW                            200.00
              140    X-RAY LEFT THIGH LATERAL VIEW                       200.00
              141    X-RAY LEFT WRIST AP & LATERAL VIEW                  200.00
              142    X-RAY LEFT WRIST AP VIEW                            200.00
              143    X-RAY LEFT WRIST LATERAL VIEW                       200.00
              144    X-RAY LUMBAR SPINE AP & LATERAL VIEW                400.00
              145    X-RAY LUMBAR SPINE AP VIEW                          200.00
              146    X-RAY LUMBAR SPINE LATERAL VIEW                     200.00
              147    X-RAY RIGHT ANKLE AP  & LATERAL VIEW                200.00
              148    X-RAY RIGHT ANKLE AP VIEW                           200.00
              149    X-RAY RIGHT ANKLE LATERAL VIEW                      200.00
              150    X-RAY RIGHT ELBOW AP & LATERAL VIEW                 200.00
              151    X-RAY RIGHT ELBOW AP VIEW                           200.00
              152    X-RAY RIGHT ELBOW LATERAL VIEW                      200.00
              153    X-RAY RIGHT FOREARM AP & LATERAL VIEW               200.00
              154    X-RAY RIGHT HAND AP & LATERAL VIEW                  200.00
              155    X-RAY RIGHT HAND AP VIEW                            200.00
              156    X-RAY RIGHT HAND LATERAL VIEW                       200.00
              157    X-RAY RIGHT HEEL LATERAL VIEW                       200.00
              158    X-RAY RIGHT HIP JOINT AP & LATERAL VIEW             400.00
              159    X-RAY RIGHT HIP JOINT AP VIEW                       200.00
              160    X-RAY RIGHT HIP JOINT LATERAL VIEW                  200.00
              161    X-RAY RIGHT HUMEROUS AP & LATERAL VIEW              200.00
              162    X-RAY RIGHT HUMEROUS AP VIEW                        200.00
              163    X-RAY RIGHT HUMEROUS LATERAL VIEW                   200.00
              164    X-RAY RIGHT KNEE JOINT AP & LATERAL VIEW            200.00
              165    X-RAY RIGHT KNEE JOINT AP VIEW                      200.00
              166    X-RAY RIGHT LEG AP & LATERAL VIEW                   200.00
              167    X-RAY RIGHT LEG AP VIEW                             500.00
              168    X-RAY RIGHT LEG LATERAL VIEW                        500.00
              169    X-RAY RIGHT MANDIABLE AP & LATERAL VIEW             400.00
              170    X-RAY RIGHT MANDIABLE AP VIEW                       200.00
              171    X-RAY RIGHT MANDIABLE LATERAL VIEW                  200.00
              172    X-RAY RIGHT SHOULDER AP & LATERAL VIEW              400.00
              173    X-RAY RIGHT SHOULDER AP VIEW                        500.00
              174    X-RAY RIGHT SHOULDER AXIL VIEW                      500.00
              175    X-RAY RIGHT SHOULDER LATERAL VIEW                   500.00
              176    X-RAY RIGHT THIGH AP & LATERAL VIEW                 500.00
              177    X-RAY RIGHT THIGH AP VIEW                           500.00
              178    X-RAY RIGHT THIGH LATERAL VIEW                      500.00
              179    X-RAY RIGHT WRIST AP & LATERAL VIEW                 500.00
              180    X-RAY RIGHT WRIST AP VIEW                           500.00
              181    X-RAY RIGHT WRIST LATERAL VIEW                      500.00
              182    X-RAY SACRAM AP & LATERAL VIEW                      500.00
              183    X-RAY SACRAM AP VIEW                                500.00
              184    X-RAY SACRAM LATERAL VIEW                           500.00
              185    X-RAY SKULL AP & LATERAL VIEW                       500.00
              186    X-RAY SKULL AP VIEW                                 500.00
              187    X-RAY SKULL LATERAL VIEW                            500.00
              188    ULTRA SOUND THYROID                                 650.00
              189    ULTRA SOUND SCROTUM                                 700.00
              190    ULTRA SOUND PELVIS                                  600.00
              191    ULTRA SOUND NECK                                    650.00
              192    ULTRA SOUND KUB                                     600.00
              193    ULTRA SOUND BREAST - SINGLE                         600.00
              194    ULTRA SOUND BREAST - BOTH                           900.00
              195    ULTRA SOUND ANTENATAL (OBSTERTIC)                   600.00
              196    ULTRASOUND TIFFA SCAN                               800.00
              197    ULTRASOUND FOLLICULAR STUDY                         1000.00
              198    ULTRASOUND TRANS VAGINAL SCAN(Ist TRIMESTER) REPORT 700.00
              200    ULTRASOUND INTERVAL GROWTH (IIIrd TRIMESTER)-BPP    1000.00
              201    SPUTUM FOR GRAM STAIN                               300.00
              202    URINE FOR KETONE BODIES                             150.00
              203    STOOL FOR REDUCING SUBSTANCE                        100.00
              204    X-RAY IOPA                                          500.00
              205    TB IGG IGM                                          1100.00
              206    X-RAY BOTH  KNEE JOINT AP                           500.00
              207    SERUM CHOLESTROL                                    200.00
              208    KETON BODIES                                        100.00
              209    SERUM LIPASE                                        400.00
              210    2D ECHO & COLOUR DOPPLER                            1500.00
              211    SERUM MAGNESIUM                                     250.00
              212    COOMBS INDIRECT                                     450.00
              213    FSH,LH,PROLACTIN                                    1500.00
              214    SERUM ELECTROLYTES                                  700.00
              215    HIV WITH BLOOD GROUP                                500.00
              216    URINE  NORMAL                                       100.00
              217    VITAMIN B-12                                        1200.00
              218    CREATININE KINASE                                   150.00
              219    RUBELLA  IgG.                                       0.00
              220    RUBELLA VIRUS  - IgG                                0.00
              221    CHIKUNGUNYA                                         800.00
              222    WIDAL TEST WITH MP,BG,BILIRUBIN,CRP,RBS             950.00
              223    WIDAL TEST WITH MP,PC,RBS                           350.00
              224    WIDAL TEST                                          150.00
              225    LH TEST                                             300.00
              226    ULTRASOUND SCAN OF ABDOMEN ( MALE )                 100.00
              227    ANTI HEPATITIS A VIRUS - IGM                        120.00
              228    RFT                                                 600.00
              229    TROP I                                              1500.00
              230    TROP T                                              1500.00
              231    SERUM COLONOSTRASE                                  1200.00
              232    vcvcvvcvcvcvc                                       100.00
              233    Anti Phospolipid Anti bodies  IgG & IgM             1300.00
              234    Anti Mullerian Harmone (AMH)                        2000.00
              235    SERUM IgE                                           1000.00
              236    VITAMIN - D                                         1.00
              237    PT INR                                              300.00
              238    TORCH TEST                                          2500.00
              239    HS1 IgG IgM                                         600.00
              240    SPUTUM CULTURE & SENSIVITY                          500.00
              241    D-DIMER                                             1500.00
              242    HOMOCYSTINE                                         1000.00
              243    PERIPHERAL SMEAR                                    250.00
              244    IRON PROFILE                                        1400.00
              245    LDH                                                 600.00
              246    SERUM INSULIN                                       700.00
              247    C-PEPTIDE                                           900.00
              248    BLOOD  HCG                                          1200.00
              249    SERUM PROCALSOTONIN                                 2500.00
              250    BLOOD KETONES                                       400.00
              251    SERUM HAPTO GLOBIN                                  1800.00
              252    CULTURE & SENSIVITY                                 400.00
              253    BLOOD CULTURE & SENSIVITY                           1500.00
              254    serum igm                                           2000.00
            ---------------------------------------------------------------------
